site,coral length (cm),coral width (cm),coral height (cm),coral circum (cm),<25 mm,25-69 mm,>70 mm
MRB Tour,28,27,31,72,0,5,5
3-Jul-05,33,26,22,80,1,8,0
,70,55,50,180,0,7,61
,60,53,37,170,0,10,0
,73,41,44,177,0,12,48
,46,46,34,88,26,16,14
,40,36,38,84,15,3,19
MRB EDGE,39,30,30,75,28,8,0
3-Jul-05,55,42,38,102,14,6,4
MRB OUT,36,25,27,100,14,8,4
3-Jul-05,48,48,37,135,0,4,1
,36,34,19,96,0,0,0
,26,20,20,71,0,0,0
,31,28,26,100,14,5,3
,54,51,42,136,0,18,12
,44,36,36,118,0,7,14
,42,31,26,109,4,10,7
,27,20,18,52,12,2,0
,58,38,37,144,0,16,5
,57,52,36,148,0,11,8
,42,36,27,115,1,13,2
,55,43,39,130,0,13,4
,29,27,22,76,13,1,0
,50,50,37,140,2,22,8
,24,20,18,59,5,0,0
,34,28,17,82,1,4,0
,70,65,29,180,2,30,4
,22,19,18,56,0,0,0
,30,25,22,90,4,1,0
,48,36,26,120,1,27,2
,48,46,32,138,10,20,4
,49,34,26,128,0,11,0
,46,54,26,137,6,13,1
,47,49,32,144,2,24,3
,50,38,26,134,10,1,6
,40,42,28,112,10,1,0
,50,38,30,132,18,20,2
,58,52,37,160,23,24,8
,55,40,26,130,0,10,2
,47,50,32,129,3,20,5
,67,47,37,165,0,5,1
,50,49,35,148,5,21,2
,49,45,35,144,0,14,2
,38,36,24,120,1,4,0
,41,33,23,98,20,13,1
,45,45,36,140,0,25,3
,38,33,14,107,0,4,0
,43,18,28,86,10,1,0
6-Jul-05,48,41,31,135,4,15,1
,48,40,28,114,25,5,0
,32,24,10,89,2,0,0
,38,37,34,102,40,8,0
,44,37,31,131,10,18,4
,57,41,41,125,18,11,0
,48,45,30,128,7,3,0
TRAN'S,65,42,19,155,0,0,0
5-Jul-05,37,24,20,97,0,0,0
,16,18,16,49,2,1,0
,39,27,12,103,7,2,0
,37,29,20,99,0,0,0
,34,22,10,82,0,0,0
,41,35,29,104,0,11,1
,42,21,10,110,1,2,0
,31,31,25,97,0,0,0
,50,36,30,120,0,11,2
,37,37,25,109,0,0,1
,34,25,21,87,0,0,0
,36,34,21,104,0,0,0
,34,28,24,94,1,0,0
,38,34,27,102,0,7,2
,50,40,17,120,6,8,0
TRAN'S,28,19,11,75,0,0,0
CREST,37,33,18,104,0,0,0
5-Jul-05,44,32,25,105,0,0,0
,35,25,20,90,0,0,0
,54,31,17,143,19,6,0
,28,25,18,76,0,0,0
,43,29,20,123,0,3,0
,78,60,35,170,0,10,0
,62,39,14,145,16,10,0
,50,35,24,135,2,11,1
,35,32,17,83,0,0,0
,32,32,21,90,0,0,0
,30,27,21,88,2,0,0
,43,20,14,130,0,8,0
,25,25,22,90,0,6,0
,33,22,25,100,0,4,1
MAHAREPA,60,49,25,160,6,17,1
FLOW PRED,44,33,27,108,4,8,0
5-Jul-05,43,43,26,128,0,0,0
MRB,32,23,11,108,5,3,0
,20,13,13,52,0,0,0
FLOW PRED,34,28,22,90,5,4,2
6-Jul-05,45,41,30,120,0,10,3
,42,37,28,115,0,9,6
,52,43,33,136,0,4,2
,33,29,20,100,2,10,3
,50,39,28,120,2,30,1
,44,44,30,115,0,22,1
OPUNOHU 0,36,28,23,97,36,8,0
NORTHSHORE,34,14,20,80,17,4,0
6-Jul-05,42,38,28,108,5,8,0
,47,26,22,124,3,5,0
,41,38,30,121,19,12,0
,45,41,34,124,25,3,0
OPUNOHU 0,40,40,29,111,18,24,1
FLOW PRED,39,38,27,108,20,3,0
6-Jul-05,37,30,25,97,3,6,0
